"last_name, first_name","player_id","year","p_era","whiff_percent","ff_avg_speed","ff_avg_spin","ff_avg_break_x","ff_avg_break_z","sl_avg_speed","sl_avg_spin","sl_avg_break_x","sl_avg_break_z","cu_avg_speed","cu_avg_spin","cu_avg_break_x","cu_avg_break_z","st_avg_speed","st_avg_spin","st_avg_break_x","st_avg_break_z"
"Wainwright, Adam","425794","2021","3.05",19.7,"89","2228","-1.9","-19.7",,,,,"73.4","2835","16.6","-66.5",,,,
"Greinke, Zack","425844","2021","4.16",21.8,"88.9","2234","-1.3","-18","83.6","2357","7.9","-36","71.1","2358","11.3","-65.1",,,,
"Hill, Rich","448179","2021","3.86",23.1,"88.1","2339","9.2","-16.1","76.5","2384","-8.2","-48.6","71.7","2713","-19.5","-66.7","69.1","2610","-23.5","-57.7"
"Morton, Charlie","450203","2021","3.34",28.9,"95.5","2340","-13","-17.5",,,,,"80.6","3053","16.6","-52.5",,,,
"Lester, Jon","452657","2021","4.71",20,"88.7","2172","5","-20",,,,,"72.6","2437","-10.3","-57.8",,,,
"Scherzer, Max","453286","2021","2.46",34.1,"94.3","2436","-10.6","-14.8","85.8","2269","2.9","-32.5","76.9","2661","13.4","-54.4",,,,
"Happ, J.A.","457918","2021","5.79",19.3,"91","2298","7.9","-16.1","83","2225","-2.5","-36.1","76.2","2231","-4.7","-52.1",,,,
"Lynn, Lance","458681","2021","2.69",26.3,"94","2407","-6","-16","81.2","2254","3.9","-49.5","82.1","2476","6.6","-44.9",,,,
"Miley, Wade","489119","2021","3.37",23.7,"89.9","2239","2.8","-17.1","79.3","2308","-11.5","-39.7","74.7","2384","-10.5","-57.7",,,,
"Minor, Mike","501985","2021","5.05",24.3,"90.9","2544","1.9","-18.2","85.6","2723","-5.3","-35.1","80.4","2493","-7","-54.7",,,,
"Gibson, Kyle","502043","2021","3.71",24.9,"92.8","2292","-5.6","-15.5","83.5","2513","5.6","-40.2","79.4","2435","7.2","-51.7",,,,
"Darvish, Yu","506433","2021","4.22",27.3,"94.5","2513","-6.3","-11.8","86.2","2792","5.2","-35.6","75.3","2714","9.3","-63.1","81.6","2759","16.3","-43.1"
"Bumgarner, Madison","518516","2021","4.67",21.5,"90.4","2314","8.5","-18.2",,,,,"77.8","2462","-10.1","-48.4",,,,
"Harvey, Matt","518774","2021","6.27",18.9,"93.4","2157","-12.3","-17","86.9","2370","1.6","-29.8","79.9","2489","11.9","-49.8",,,,
"Kelly, Merrill","518876","2021","4.44",20.3,"91.7","2359","-7.2","-16.8",,,,,"81.3","2564","9.1","-51.3",,,,
"Pérez, Martín","527048","2021","4.74",19.3,"93.4","2107","11","-15.8",,,,,"78.7","2459","-5","-49.3",,,,
"Anderson, Tyler","542881","2021","4.53",23.1,"90.6","2291","9.1","-15.2","80","2458","-3.2","-38.5","73.7","2426","-5.9","-56.1",,,,
"Cole, Gerrit","543037","2021","3.23",31.9,"97.7","2452","-12","-10.9","88.4","2600","5.3","-34.4","83.4","2800","10.5","-51.6",,,,
"DeSclafani, Anthony","543101","2021","3.17",24,"94.1","2265","-9.6","-14.6","87.9","2198","4.1","-30.5","83","1964","6.3","-46",,,,
"Eovaldi, Nathan","543135","2021","3.75",25.9,"96.8","2113","-12.2","-14.9","85.8","2156","6","-35.1","78.5","2086","9.9","-55",,,,
"Gray, Sonny","543243","2021","4.19",26.1,"92.3","2423","-1.8","-16.6","83.6","2597","5.6","-42.7","79.3","2749","14.1","-57.8","82","2612","17.3","-46.6"
"Hendricks, Kyle","543294","2021","4.77",20.1,"87.3","1942","-6.9","-20.4",,,,,"73.2","2844","14.9","-63.4",,,,
"Lyles, Jordan","543475","2021","5.15",23.5,"93","2278","-7","-13.6","84.9","2705","5.9","-37.6","80.3","2619","6.9","-57.4","82.3","2638","12.9","-40.1"
"Ryu, Hyun Jin","547943","2021","4.37",22.6,"89.9","1944","11.9","-20.9","79.8","2059","-3.1","-42.1","73.9","2512","-11.7","-64.2",,,,
"Wheeler, Zack","554430","2021","2.78",26.5,"97.2","2388","-7.6","-13.1",,,,,"81.5","2638","9.8","-52.9",,,,
"Corbin, Patrick","571578","2021","5.82",24.8,"92.3","2148","8.1","-17.1","80.7","2216","-3.5","-41.5","65.2","1782","-3.7","-65.7",,,,
"Heaney, Andrew","571760","2021","5.83",28.2,"92","2443","15.3","-17.4","78.6","2463","-4.6","-47.5","79.4","2574","-7.1","-46.7",,,,
"Matz, Steven","571927","2021","3.82",22.3,,,,,"88.9","2080","1.2","-28.9","77.6","2336","-13.3","-54.8",,,,
"Richards, Garrett","572070","2021","4.87",22.4,"94.3","2468","1.3","-22","88.1","2745","3.1","-37.3","78.3","3140","11","-65",,,,
"Keuchel, Dallas","572971","2021","5.28",21,"89","2210","5.2","-19.7","77.8","2374","-6.8","-44.5",,,,,,,,
"Stroman, Marcus","573186","2021","3.02",26.7,"92.6","2438","-4.3","-18.6","87.2","2643","4.1","-38.7","74.9","2514","16.5","-51",,,,
"Kikuchi, Yusei","579328","2021","4.41",27.7,"95.1","2213","10.2","-14","82.5","2404","-2.6","-43",,,,,,,,
"Foltynewicz, Mike","592314","2021","5.44",18.3,"93.8","2155","-10.5","-15.8","83.2","2426","5.3","-37.3","76.7","2316","10.3","-45.5",,,,
"Gausman, Kevin","592332","2021","2.81",31.3,"94.6","2283","-10.4","-14.2","82","2197","1.9","-39.2",,,,,,,,
"Gray, Jon","592351","2021","4.59",26.7,"94.9","2152","-12.9","-19.2","86.7","2408","2.6","-32.7","76","2585","11.3","-56.6",,,,
"Ray, Robbie","592662","2021","2.84",32.3,"94.8","2272","8.2","-13.5","88.6","2186","-1","-27.6","82.5","2125","-1.3","-40.2",,,,
"Smyly, Drew","592767","2021","4.48",24.9,,,,,,,,,"78.9","2096","2.9","-44.2",,,,
"Taillon, Jameson","592791","2021","4.30",26.4,"93.9","2419","-3.4","-13.2","86.6","2525","5.8","-30.7","80.7","2732","10.2","-54.9","84.5","2364","4.9","-36"
"Walker, Taijuan","592836","2021","4.47",23.4,"94.5","2094","-9.4","-13.5","86.1","2415","4.6","-31.1","76.4","2356","7.8","-59.7",,,,
"Montas, Frankie","593423","2021","3.37",29.6,"96.4","2396","-7.1","-12","88.1","2478","5.7","-30.8",,,,,,,,
"Rodriguez, Eduardo","593958","2021","4.74",26.3,"92.5","2177","7.3","-17.1","82.1","2140","-3","-44.4",,,,,,,,
"Gonzales, Marco","594835","2021","3.96",20.4,"88.4","2143","10.7","-17.5",,,,,"75.2","2282","-6.1","-61.5",,,,
"Pivetta, Nick","601713","2021","4.53",24.6,"94.8","2294","-5.1","-10.8","86","2288","5.5","-35.2","78.6","2742","8","-63.6",,,,
"Bassitt, Chris","605135","2021","3.15",23.8,"93.2","2170","-7.7","-16.9","82.8","2255","6.2","-37.6","71.7","2328","13.5","-67.4","75.2","2355","18.3","-48.5"
"Davies, Zach","605200","2021","5.78",22.3,,,,,"80","2300","4.2","-43.3","74.2","2459","9.6","-59.8",,,,
"Houser, Adrian","605288","2021","3.22",18.4,"94.1","2177","-8.4","-15.4","84","2165","5.8","-35.6","80","1855","5.4","-55.7",,,,
"López, Jorge","605347","2021","6.07",20.6,"95.3","1977","-9.5","-15.1","85.9","2231","1.6","-31.9","81.9","2378","7.9","-52",,,,
"Musgrove, Joe","605397","2021","3.18",29.3,"93.3","2600","-5","-18.6","84.1","2784","14","-40.5","82.1","2808","11","-54.7",,,,
"Nola, Aaron","605400","2021","4.63",27.9,"92.9","2198","-13.3","-17.6",,,,,"78.5","2529","14.6","-55.1",,,,
"Snell, Blake","605483","2021","4.20",31.6,"95.1","2399","5.7","-11.6","86.5","2417","-4.3","-35.5","79.5","2259","-11.1","-55.9",,,,
"Woodruff, Brandon","605540","2021","2.56",28.2,"96.5","2356","-6.3","-12.7","86.5","2553","3.8","-39.2","83.8","2644","4.5","-51.2",,,,
"Rodón, Carlos","607074","2021","2.37",33.2,"95.4","2293","7.9","-12.6","85.8","2453","-8.2","-38.2","76.7","2253","-6.6","-54.3",,,,
"Fedde, Erick","607200","2021","5.47",21.9,"93.2","1850","-3.5","-22.4",,,,,"79.7","2282","14.3","-44.5",,,,
"Freeland, Kyle","607536","2021","4.33",21.1,"91.4","2398","6.3","-19.6","86","2324","-2.5","-32","80.2","2437","-5.6","-51.6",,,,
"Means, John","607644","2021","3.62",25.3,"92.8","2399","6.7","-11.9","86.3","2326","-3.4","-27.4","78","2278","-13.1","-52.3",,,,
"Fried, Max","608331","2021","3.04",24.3,"94","2114","1.4","-18.1","84.7","2483","-8.8","-37.9","74.4","2650","-8.3","-65.3","82.4","2564","-20","-44.6"
"Giolito, Lucas","608337","2021","3.53",32.2,"93.8","2345","-6.7","-12","85.6","2028","2.7","-32.4","80.6","2382","6.4","-52.4",,,,
"Irvin, Cole","608344","2021","4.24",19.2,"90.8","1956","8.2","-16.6","83","2008","-2.5","-38","76.9","2056","-3.9","-51.9",,,,
"Wacha, Michael","608379","2021","5.05",23,"93.8","2091","-6.8","-12.6",,,,,"76.2","2191","11.3","-56.4",,,,
"Márquez, Germán","608566","2021","4.40",27,"94.8","2078","-6","-18.6","86.2","2420","1.5","-34.9","85.2","2683","4","-40.3",,,,
"Quantrill, Cal","615698","2021","2.89",21.9,"94.4","2163","-8.5","-14.5","86.7","2309","3.7","-34.6","81.3","2353","3.9","-43.2",,,,
"Kaprielian, James","621076","2021","4.07",27.2,"93","2035","-8.5","-16.3","85.3","2274","0.8","-32.9","78","2443","6.8","-51.2",,,,
"Buehler, Walker","621111","2021","2.47",26.3,"95.3","2472","-3.1","-12","84.9","2798","14.2","-37.1","80.1","2861","10.7","-57.7",,,,
"McCullers Jr., Lance","621121","2021","3.16",30.2,,,,,"86","2797","13.7","-32.5","84.2","2923","11.9","-49.3",,,,
"Mills, Alec","621219","2021","5.07",18.3,"88.7","2167","-9.3","-20.7","76.6","2528","16.6","-50.5","65.8","2317","12.5","-74.3",,,,
"Berríos, José","621244","2021","3.52",23.7,"94.1","2231","-9.9","-16.5",,,,,,,,,,,,
"Wood, Alex","622072","2021","3.83",27.3,,,,,"83.9","2117","-3.9","-41.3",,,,,,,,
"Castillo, Luis","622491","2021","3.98",28.7,"97.1","2325","-11.3","-16.2","86.4","2441","0.5","-36.8",,,,,,,,
"Senzatela, Antonio","622608","2021","4.42",19.5,"94.6","2096","-4.9","-19.3","86.1","2083","5","-34.1","77.8","2158","6.6","-51.1",,,,
"Flexen, Chris","623167","2021","3.61",19.2,"92.8","2107","-2","-13.5",,,,,"77.2","2708","7.9","-59.1",,,,
"Urías, Julio","628711","2021","2.96",24.1,"94.1","2499","3.8","-13.5",,,,,,,,,,,,
"Crowe, Wil","640444","2021","5.48",25.3,"93.7","2407","-3.1","-14.5","85.3","2716","6.5","-37.6","80.4","2440","4.9","-55.3",,,,
"Manaea, Sean","640455","2021","3.91",27.1,"92.1","1957","7.9","-18.8","82.8","2010","-4.4","-37.2",,,,,"78.2","2109","-14.9","-44"
"Alzolay, Adbert","640470","2021","4.58",26.8,"94","2295","-7.8","-14.2","86.2","2610","7.3","-33.4","80","2648","7.6","-42.7",,,,
"Dunning, Dane","641540","2021","4.51",23.2,"90","2011","-6.5","-26.6","79.7","2071","4.7","-48.5","78.2","2074","7.8","-59.7",,,,
"Keller, Brad","641745","2021","5.39",22.2,"94.2","2322","1","-16.7","86.1","2582","6.1","-40.6",,,,,,,,
"Mahle, Tyler","641816","2021","3.75",28.4,"94","2336","-12.1","-13.9","86.7","2535","2.9","-29.4",,,,,,,,
"Yarbrough, Ryan","642232","2021","5.11",21.1,"84.3","1999","8.9","-32",,,,,"71.1","2270","-15.5","-49.3",,,,
"Peralta, Freddy","642547","2021","2.81",34.1,"93.4","2370","-7","-14.9","80.5","2264","14.3","-39.3","76.8","2213","8.4","-52",,,,
"Alcantara, Sandy","645261","2021","3.19",27.3,"98.1","2239","-10.6","-14.8","90.4","2359","-1.3","-30.1","83.7","2396","3.8","-42.9",,,,
"Cease, Dylan","656302","2021","3.91",34.6,"96.7","2543","-4.4","-10.5","85.9","2880","6.9","-38.1","79.9","2754","5.3","-61.7",,,,
"Montgomery, Jordan","656756","2021","3.83",29,"92.6","2284","7.4","-15.3",,,,,"80","2246","-0.9","-46.7",,,,
"Webb, Logan","657277","2021","3.03",28.7,"93.2","2133","-8.4","-20.4",,,,,,,,,"82.4","2688","10.8","-41.9"
"Ohtani, Shohei","660271","2021","3.18",28.9,"95.6","2218","-3.8","-14.6","80.6","2273","7.6","-44.8","74.5","2370","12.1","-63.9","82.3","2350","15.8","-37.5"
"Bubic, Kris","663460","2021","4.43",23.4,"90.9","2073","6.2","-17.7",,,,,"78.5","2619","-8.3","-59.5",,,,
"Allard, Kolby","663465","2021","5.41",19.8,"91.5","2121","7.9","-15.7",,,,,"75.9","1896","-4.5","-56.6",,,,
"Mize, Casey","663554","2021","3.71",22.6,"93.9","2151","-9.2","-15.4","85.9","2239","3.8","-34.9","81.3","2197","9.7","-51.5",,,,
"McClanahan, Shane","663556","2021","3.43",32,"96.4","2256","10.5","-13.3","89.1","2400","-3.8","-32.3","82.5","2653","-6","-51",,,,
"Singer, Brady","663903","2021","4.91",25.1,"92.7","2264","-4.7","-15.2","85.4","2393","3.8","-36.6",,,,,,,,
"Brubaker, JT","664141","2021","5.36",27.3,"92.9","2178","-8.7","-15.8","87.2","2648","1.3","-32.9","79.5","2801","6.4","-51.9",,,,
"Valdez, Framber","664285","2021","3.14",26,"92.1","2183","5","-22",,,,,"77.9","2873","-13.5","-61",,,,
"Anderson, Ian","666120","2021","3.58",28.5,"94.6","2045","-5.4","-13.2",,,,,"80.7","1895","1","-48.4",,,,
"Plesac, Zach","668676","2021","4.67",23.1,"92.8","2047","-8.7","-14.7","86.7","2033","0.1","-27.5","80.2","1884","1.7","-48.7",,,,
"Gallen, Zac","668678","2021","4.30",23.3,"93.4","2324","-3.4","-14.1","86.1","2467","7.7","-37","79.7","2437","8.3","-55.1",,,,
"Burnes, Corbin","669203","2021","2.43",36.5,"96.4","2607","-5.7","-15.4","88","2861","7.6","-35.3","81.2","2867","11.3","-49.3",,,,
"Gilbert, Logan","669302","2021","4.68",27.1,"95.3","2200","-5.4","-12.1","83.4","2276","6.5","-35","75","2117","5.1","-56.7",,,,
"Skubal, Tarik","669373","2021","4.34",26.7,"94.3","2192","8.3","-14.8","86.5","2060","-1.8","-32.6","73.8","2222","-7.9","-63.9",,,,
"Rogers, Trevor","669432","2021","2.64",30.7,"94.5","2375","11.1","-16","81.8","2115","-1.7","-37.5",,,,,,,,
"Garcia, Luis","677651","2021","3.48",30.5,"93.3","2354","-5","-13","79.9","2374","15.8","-45.8","75.9","2264","5.9","-59.2",,,,
"Wainwright, Adam","425794","2022","3.71",16.9,"88","2233","-1.4","-20.2","75.3","2682","18.6","-54.2","72.8","2768","16.1","-67.5",,,,
"Greinke, Zack","425844","2022","3.68",17.3,"89.2","2286","-2.1","-18.4","81.8","2448","8.4","-34.7","72","2433","12.5","-64.4",,,,
"Verlander, Justin","434378","2022","1.75",24.2,"95","2423","-9.5","-11.4","87.4","2464","4","-31","79","2644","6.9","-55.3",,,,
"Kluber, Corey","446372","2022","4.34",23.9,"88.9","2271","-6.3","-20.2",,,,,"80.7","2526","16.5","-41",,,,
"Hill, Rich","448179","2022","4.27",22,"88.5","2252","8.2","-16.4",,,,,"71.8","2629","-17.8","-67.7","69.2","2531","-22.7","-56.5"
"Morton, Charlie","450203","2022","4.34",29.2,"94.9","2373","-10.6","-17.9",,,,,"81.3","3068","15.5","-51.1",,,,
"Scherzer, Max","453286","2022","2.29",30.6,"94","2387","-11.1","-15","85","2303","3.2","-34.7","75","2764","16.6","-58.4",,,,
"Cueto, Johnny","456501","2022","3.35",17.6,"91.4","2188","-12.2","-17.8","83.5","2235","2.7","-33.7","69.9","2095","3.5","-57",,,,
"Lynn, Lance","458681","2022","3.99",28.5,"92.9","2443","-3.7","-18.3","86","2548","5.1","-35.5","82","2497","10.5","-42.2",,,,
"Carrasco, Carlos","471911","2022","3.97",27.6,"93.2","2282","-7.6","-17.5","84.8","2456","2.3","-35.7","81.1","2654","7.6","-46.7",,,,
"Quintana, Jose","500779","2022","2.93",23.8,"91.2","2077","2.4","-17.7",,,,,"78.3","2263","-7.1","-52.7",,,,
"Gibson, Kyle","502043","2022","5.05",25.1,"92","2279","-6.2","-16.4","83.4","2518","4.6","-40.7","79.1","2467","7.3","-52.5","82.9","2458","7.8","-37.2"
"Cobb, Alex","502171","2022","3.73",24.8,"95.3","2214","-8.6","-14.3","85.1","2531","4","-45.1","83.8","2610","5.9","-52",,,,
"Darvish, Yu","506433","2022","3.10",25.1,"95","2416","-7.2","-13.5","86","2778","5.7","-37.1","76.1","2704","10.6","-61.1","82.7","2726","16.2","-40.3"
"Bumgarner, Madison","518516","2022","4.88",18.1,"91.2","2209","7.8","-17.7","83.3","2205","-5.8","-39.7","78.6","2304","-9.2","-47.1",,,,
"Kelly, Merrill","518876","2022","3.37",23.6,"92.6","2360","-7.9","-16.7","85","2416","1.8","-34.5","82.2","2550","9.1","-50.9",,,,
"Pérez, Martín","527048","2022","2.89",21,"92.7","2055","10.9","-17.4","84.5","2398","-3.5","-32.7","78.8","2515","-6.3","-49",,,,
"Anderson, Tyler","542881","2022","2.57",24.2,"90.7","2231","7.5","-15.3",,,,,"73.2","2141","-2","-59.2",,,,
"Cole, Gerrit","543037","2022","3.50",33.9,"97.8","2428","-10.4","-10.5","88.7","2569","5","-34.2","83","2779","10.2","-53",,,,
"Lyles, Jordan","543475","2022","4.42",21.9,"91.8","2204","-5.9","-15.5",,,,,"79.1","2433","7.6","-58.7","80","2638","16.8","-44.2"
"Stripling, Ross","548389","2022","3.01",23.5,"91.9","2124","-5.2","-13.7","87.1","2301","4.5","-29.6","76.1","2377","7.2","-59",,,,
"Wheeler, Zack","554430","2022","2.82",25.1,"95.9","2392","-9.2","-13.6",,,,,"81.3","2654","9.2","-51.7",,,,
"Corbin, Patrick","571578","2022","6.31",20.7,"92.1","2130","7.9","-17.5","81.7","2184","-2.9","-39.6","74.2","1944","-2.5","-51.4",,,,
"Mikolas, Miles","571945","2022","3.29",18.5,"93.5","2292","-4.9","-16.3","87.7","2381","3.9","-31.1","76","2547","8.7","-63.3",,,,
"Stroman, Marcus","573186","2022","3.50",22.4,"92.6","2425","-4.6","-18.1","86.4","2692","4.9","-40.5",,,,,,,,
"Gausman, Kevin","592332","2022","3.35",29.4,"95","2265","-10.5","-13.1","84.4","2206","1.2","-35.1",,,,,,,,
"Gray, Jon","592351","2022","3.96",25.9,"95.9","2015","-11.4","-17.2","85.8","2212","-2.1","-28.7","77.8","2597","14.5","-56","84.9","2471","10.2","-32.6"
"Ray, Robbie","592662","2022","3.71",30,"93.4","2282","6.7","-13.4","87.2","2190","-1.5","-28.3","79.7","2106","-2.5","-43.7",,,,
"Syndergaard, Noah","592789","2022","3.94",20.1,"94.1","2136","-5.7","-16.7","85.2","2151","5.5","-36.6","77.8","2136","10.3","-45.5",,,,
"Taillon, Jameson","592791","2022","3.91",23,"94.1","2370","-5.7","-13.2","86.1","2556","6.2","-32.5","81.1","2734","9.2","-51.9","84.1","2640","10.1","-37.8"
"Walker, Taijuan","592836","2022","3.49",23.6,"93.7","2148","-10.1","-14","84.9","2403","5.3","-32.5","75","2226","7","-60.5","83.2","2497","7","-39.2"
"Montas, Frankie","593423","2022","4.05",27.6,"96.1","2357","-6.3","-12.8","87.2","2410","6.2","-32.8",,,,,,,,
"Gonzales, Marco","594835","2022","4.13",18.3,"88.5","1986","12.2","-20.3",,,,,"76.6","2114","-6.3","-59.8",,,,
"Gomber, Austin","596295","2022","5.56",21.9,"91","2156","6.3","-15.6","84.3","2391","-5","-34.7","75.8","2497","-7","-61.6",,,,
"Pivetta, Nick","601713","2022","4.56",23.5,"93.4","2310","-5.1","-10.9","83","2476","6.9","-42","77.2","2710","7.9","-65.3",,,,
"Bassitt, Chris","605135","2022","3.42",23.6,"93.2","2191","-5.5","-17.8","82.7","2345","6.9","-38.8","71.6","2330","14.9","-68","75.2","2318","18.8","-48.5"
"Bundy, Dylan","605164","2022","4.89",21.1,"89","2352","-4.5","-15.3","79.1","2404","5.3","-44.4","72.2","2148","8.2","-63.4",,,,
"Davies, Zach","605200","2022","4.09",21.4,"89.9","2114","-13.9","-20","75.9","2498","15.6","-52.7","74.8","2580","10.9","-62","78.1","2604","18.8","-47.6"
"Musgrove, Joe","605397","2022","2.93",25.5,"92.9","2559","-4.2","-18.3","82.9","2714","12.7","-41.9","81.3","2723","9.6","-55.5",,,,
"Nola, Aaron","605400","2022","3.25",27.9,"92.8","2308","-13.1","-16.6",,,,,"78.6","2589","14.4","-55.7",,,,
"Snell, Blake","605483","2022","3.38",32.8,"95.8","2434","5.2","-11.2","88.9","2389","-4.1","-29.9","81.4","2297","-12.2","-51",,,,
"Springs, Jeffrey","605488","2022","2.46",29.5,"91.4","2254","11.4","-15.3","85.4","2188","-4.5","-32.4",,,,,,,,
"Thompson, Zach","605507","2022","5.18",24,"92.3","2386","-2","-18.1",,,,,"76.6","2244","5","-56.5",,,,
"Woodruff, Brandon","605540","2022","3.05",31.1,"96.3","2350","-6","-12.1","88","2408","3.8","-32","84","2497","2.5","-46",,,,
"Rodón, Carlos","607074","2022","2.88",31.2,"95.5","2349","6","-12","85.4","2447","-8.1","-38.6","79.8","2454","-6.4","-55.5",,,,
"Fedde, Erick","607200","2022","5.81",18.3,,,,,,,,,"78.4","2388","14.7","-46.9",,,,
"Freeland, Kyle","607536","2022","4.53",20.8,"90.2","2390","5.7","-20.2","85.4","2375","-1.4","-32.7","80.9","2446","-4.3","-48.5",,,,
"Fried, Max","608331","2022","2.48",25.9,"94","2139","1.7","-18.5","87.3","2392","-3.8","-34.9","74.2","2748","-9.5","-66.8","80","2646","-14","-47.8"
"Giolito, Lucas","608337","2022","4.90",28.5,"92.6","2172","-5.4","-13.9","84.4","1959","3.5","-37.2","79.2","2348","7.2","-56.3",,,,
"Irvin, Cole","608344","2022","3.98",20.5,"90.7","1976","9.9","-17.2",,,,,"77.5","2074","-8.2","-49.6",,,,
"Wacha, Michael","608379","2022","3.32",20.7,"93","2122","-6.7","-12.4",,,,,"74.7","2173","10.3","-58.8",,,,
"Márquez, Germán","608566","2022","4.95",23,"95.6","2138","-9","-16.6","87.7","2390","0.3","-31.1","86.5","2577","1.1","-38.3",,,,
"Quantrill, Cal","615698","2022","3.38",18.5,"93.5","2167","-6.6","-13.8",,,,,"82.7","2447","3.7","-42.9",,,,
"Kaprielian, James","621076","2022","4.23",21.2,"94","2006","-7.6","-15.5","85","2291","4.5","-34.3","79.3","2496","7.3","-51.9",,,,
"Berríos, José","621244","2022","5.23",21.2,"94","2241","-10.6","-16.6",,,,,,,,,,,,
