"last_name, first_name","player_id","year","p_era","whiff_percent","ff_avg_speed","ff_avg_spin","ff_avg_break_x","ff_avg_break_z","sl_avg_speed","sl_avg_spin","sl_avg_break_x","sl_avg_break_z","cu_avg_speed","cu_avg_spin","cu_avg_break_x","cu_avg_break_z","st_avg_speed","st_avg_spin","st_avg_break_x","st_avg_break_z"
"Wood, Alex","622072","2022","5.10",25,,,,,"84.5","2067","-3.1","-41.1",,,,,,,,
"Castillo, Luis","622491","2022","2.99",27.8,"97.1","2354","-11.4","-15.4","86.5","2422","1.1","-36",,,,,,,,
"Flexen, Chris","623167","2022","3.73",21.7,"91.7","2132","-2.3","-13.7","81.1","2523","7","-43.1","74.6","2651","8.4","-64.6","80.2","2587","12.6","-44.6"
"Suárez, Ranger","624133","2022","3.65",21.3,"93.2","1894","6.6","-20.1","82.4","2114","-6.6","-38.8","76.6","2228","-9.7","-55.5",,,,
"Urías, Julio","628711","2022","2.16",23.7,"93.1","2521","3","-14.9",,,,,,,,,,,,
"Manaea, Sean","640455","2022","4.96",25.5,"91.3","2001","12.5","-20.2","81.6","2036","-3.8","-38.9","80.7","2016","-7.2","-38.7","77.3","2014","-13.2","-44.7"
"López, Pablo","641154","2022","3.75",28.1,"93.5","2196","-4.5","-17.9",,,,,"80.9","2495","11","-51.7",,,,
"Cortes Jr., Nestor","641482","2022","2.44",24.4,"91.8","2270","4.1","-12.7",,,,,"72.1","2437","-9","-56.9","77.1","2521","-15.2","-42.4"
"Dunning, Dane","641540","2022","4.46",24.4,"88","2034","-5.8","-26.6","78.7","2081","7.5","-48.5","80.1","2215","10.1","-55.2",,,,
"Hudson, Dakota","641712","2022","4.45",17.6,"91.3","2169","-4.2","-24.3","87.8","2366","0.5","-30.7","80.5","2420","7.4","-46.9",,,,
"Keller, Brad","641745","2022","5.09",21.5,"94.5","2409","2.4","-17.3","86.9","2541","5.7","-38.5","87.8","2543","4.8","-37.5",,,,
"Kuhl, Chad","641771","2022","5.72",23.6,"92.9","2218","-9.3","-18","86.5","2541","3","-34.4","79.5","2866","12.3","-54.6",,,,
"Lauer, Eric","641778","2022","3.69",24.2,"93.3","2289","9.8","-14.6","86.7","2286","-3.1","-32.3","78.2","2400","-6.4","-52.7",,,,
"Mahle, Tyler","641816","2022","4.40",26.8,"93.2","2293","-10.2","-13.5","83.9","2496","5","-36.8",,,,,,,,
"Alcantara, Sandy","645261","2022","2.28",25.4,"98","2199","-12","-14.9","90","2355","0.3","-30.5","86.2","2350","2.4","-39.3",,,,
"Cease, Dylan","656302","2022","2.20",33.2,"96.8","2507","-3","-10.3","87.4","2833","4","-35","81.1","2697","3.6","-59.1",,,,
"Keller, Mitch","656605","2022","3.91",21.4,"95.5","2422","-7.3","-15.2","87.1","2452","4.9","-36.2","78.7","2576","11.2","-60","83.2","2691","17.4","-42"
"Montgomery, Jordan","656756","2022","3.48",27.4,"93","2305","8.7","-16.8",,,,,"80.2","2263","-2.9","-47.7",,,,
"Rasmussen, Drew","656876","2022","2.84",25.3,"95.5","2398","-2.3","-13.6","85.4","2514","1","-43.1","79.6","2692","4","-59.5","84.6","2470","12.4","-42.2"
"Steele, Justin","657006","2022","3.18",24,"92.2","2490","-1.6","-19.4","82","2687","-14","-43.3","78.4","2539","-11.9","-53",,,,
"Wright, Kyle","657140","2022","3.19",26.3,"95.1","2384","-11.4","-17.7","90.1","2395","-1","-25.5","84.7","2723","9","-46.6",,,,
"Otto Jr., Glenn","657248","2022","4.64",23.1,"92.1","2264","-4.2","-17.1",,,,,"81.2","2461","6.6","-52.3","81.1","2590","16.5","-42.4"
"Webb, Logan","657277","2022","2.90",24,"92.4","2069","-9.3","-22.4",,,,,,,,,"82.5","2628","10.2","-39.4"
"Ryan, Joe","657746","2022","3.55",25.6,"92","2194","-10.7","-17.5","82.3","2136","3.2","-37.4","74.9","2371","10.7","-56.3","80.1","2265","8.7","-40.5"
"Ohtani, Shohei","660271","2022","2.33",33,"97.3","2217","-3.5","-14.5","85.2","2498","7","-43.5","77.6","2482","11.2","-59.6","85.3","2492","14","-32.7"
"Bubic, Kris","663460","2022","5.58",21.3,"91.9","2134","7.7","-15.9",,,,,"79.4","2609","-7.6","-56.4",,,,
"McKenzie, Triston","663474","2022","2.96",26.7,"92.5","2312","-3","-11.6","87.3","2197","5.3","-25.7","79.4","2198","7.9","-51.3",,,,
"McClanahan, Shane","663556","2022","2.54",34.3,"96.7","2233","10.8","-11.7","89.3","2348","-3.6","-30.5","82","2628","-7.6","-52.1",,,,
"Lynch IV, Daniel","663738","2022","5.13",25.4,"94","2125","6.8","-15.2","86","2018","-0.4","-33.6","81.6","2096","-1.7","-45.4",,,,
"Sandoval, Patrick","663776","2022","2.91",29.5,"93.1","2037","4","-15.1","86.3","2551","-6.6","-35.6","78.6","2779","-7.6","-56.5",,,,
"Singer, Brady","663903","2022","3.23",22.9,"92.6","2327","-7.6","-20.2","85.5","2341","3.6","-36.8",,,,,,,,
"Brubaker, JT","664141","2022","4.69",27.3,"92.7","2156","-9.3","-16.2","86.7","2653","0.9","-34.3","80","2813","6.5","-50.9",,,,
"Valdez, Framber","664285","2022","2.82",25.6,"94","2193","7.5","-22.2","83","2669","-3.6","-44.8","79.2","2849","-11.7","-60.4",,,,
"Javier, Cristian","664299","2022","2.54",30.4,"93.8","2354","-7.3","-12.3","79.9","2621","15.1","-40.2","76.5","2884","13.2","-56.4",,,,
"Urquidy, José","664353","2022","3.94",22.3,"93.5","2201","-7.7","-11.7",,,,,"78.1","2628","7.4","-60.3","80.1","2623","14.5","-41.9"
"Kremer, Dean","665152","2022","3.23",22.2,"93.5","2235","-8.9","-14.8",,,,,"76.5","2697","11.1","-62.2",,,,
"Manoah, Alek","666201","2022","2.24",24.8,"93.9","2369","-5.5","-14.3","81.5","2216","14.5","-41",,,,,,,,
"Plesac, Zach","668676","2022","4.31",22,"91.9","2148","-7.4","-13.6","85.4","2125","1.4","-29.9","79.3","2182","1.9","-52.8",,,,
"Gallen, Zac","668678","2022","2.54",23,"94.1","2420","-3.4","-13.4","86.7","2513","7.5","-35.6","81.6","2515","6.7","-53.5",,,,
"Greene, Hunter","668881","2022","4.44",31.9,"98.9","2368","-11.7","-12.1","88.1","2363","4.6","-32",,,,,,,,
"Wilson, Bryse","669060","2022","5.52",17.8,"92.7","2034","-8.5","-17.4","82.5","2194","6.3","-37.9","77.5","2299","16.1","-49",,,,
"Burnes, Corbin","669203","2022","2.94",35.2,"96.1","2578","-5.1","-13.8","88.2","2801","7.4","-35.1","81.6","2761","9.8","-47.5",,,,
"Gilbert, Logan","669302","2022","3.20",24.2,"96.1","2135","-6.4","-11.9","86.9","2289","6.1","-31.6","80.8","2117","4.2","-50.1",,,,
"Bieber, Shane","669456","2022","2.88",29.7,"91.3","2206","-8.5","-15.3","85","2515","2.8","-35.1","82","2197","9.9","-51.6",,,,
"Kirby, George","669923","2022","3.39",21.2,"95.3","2179","-8.8","-15.1","85.5","2185","10.1","-38.1","80.8","2179","9.9","-53.6",,,,
"Detmers, Reid","672282","2022","3.77",25.3,"93.2","2102","10.1","-14.7","86.3","2140","-2.4","-37.3","73.1","2476","-12.2","-67","80.2","2229","-14.8","-47.3"
"Strider, Spencer","675911","2022","2.67",34.9,"98.2","2343","-5.1","-10.7","86.3","2388","5.2","-35.6",,,,,,,,
"Garcia, Luis","677651","2022","3.72",29.1,"94","2408","-7.5","-13.1","79.5","2525","15.2","-45.2","77.1","2577","5.9","-57.1",,,,
"Gray, Josiah","680686","2022","5.02",26.9,"94.4","2216","-10","-13","85.8","2030","1.6","-31.6","82.7","2490","2","-45.4",,,,
"Bradish, Kyle","680694","2022","4.90",23.6,"94.6","2305","1.3","-14.4","86.9","2483","10.8","-37.4","83.2","2517","5.8","-53.1",,,,
"Greinke, Zack","425844","2023","5.06",17.3,"89.5","2248","-2.9","-18.2","79.2","2464","13.6","-41.2","72.4","2408","11.5","-63.2",,,,
"Verlander, Justin","434378","2023","3.22",22.5,"94.3","2428","-8","-12.2","86.9","2512","4.4","-32.4","78.2","2716","7","-58.2",,,,
"Hill, Rich","448179","2023","5.41",19.3,"88.4","2203","6.3","-17.6","77.3","2410","-13.1","-42.8","71.9","2613","-16.8","-66.4","69.4","2523","-21.3","-57"
"Morton, Charlie","450203","2023","3.64",32.2,"94.9","2308","-13.2","-19.5",,,,,"82.3","3088","13.6","-48.3",,,,
"Scherzer, Max","453286","2023","3.77",28.6,"93.7","2360","-10.8","-15.5","84","2300","3.4","-37.2","75.4","2718","14.8","-58.1",,,,
"Lynn, Lance","458681","2023","5.73",28.7,"92.4","2424","-3.2","-18.4","83.1","2464","3.7","-42.5","80.8","2508","14.1","-42.8","81.3","2510","10","-38.3"
"Kershaw, Clayton","477132","2023","2.46",28,"90.7","2325","-0.1","-15.1","86.5","2475","-5.4","-29.8","73.4","2293","-3.9","-66.9",,,,
"Gibson, Kyle","502043","2023","4.73",25.3,"92.1","2260","-5.5","-15.7",,,,,"79.5","2446","6.4","-50.8","81.6","2459","10.6","-40"
"Cobb, Alex","502171","2023","3.87",21.7,"95.8","2140","-6.6","-17.5","86.2","2623","11","-40.1","83.6","2668","7.8","-52.3",,,,
"Darvish, Yu","506433","2023","4.56",25,"94.7","2406","-6.6","-13.3","85.7","2828","5.6","-38.8","76.3","2716","10.8","-61.8","82.4","2792","17.2","-40.4"
"Kelly, Merrill","518876","2023","3.29",27,"92.2","2345","-7.4","-17.4","85.4","2320","1.6","-34.3","82.1","2569","8.9","-51",,,,
"Pérez, Martín","527048","2023","4.45",17.2,"91.8","2023","11.1","-17.4","83.4","2310","-3.5","-32.9","79.1","2443","-3.7","-48.4",,,,
"Anderson, Tyler","542881","2023","5.43",27.8,"90.1","2218","4.9","-15.1","78.3","2371","-7.9","-41.3","72.9","2226","-0.5","-59.7",,,,
"Cole, Gerrit","543037","2023","2.63",26,"96.7","2412","-8.4","-12","89.1","2542","4.7","-32.6","82.9","2783","10.1","-53.9",,,,
"Eovaldi, Nathan","543135","2023","3.63",26.3,"95.1","2168","-12.5","-16.7","83.9","2145","6.8","-37.7","76","1956","9.2","-56.2",,,,
"Gray, Sonny","543243","2023","2.79",26,"92.9","2537","0.5","-19",,,,,"79.5","2643","12.9","-58.1","84.3","2707","15.6","-44.8"
"Hendricks, Kyle","543294","2023","3.74",21.1,"87.8","2134","-5","-20.8",,,,,"73.3","2872","15.7","-61.1",,,,
"Lyles, Jordan","543475","2023","6.28",20.1,"91.2","2250","-6.1","-16.5","81.7","2344","4.2","-33.9","79.4","2437","6.8","-59","80.2","2515","14.2","-41.4"
"Lorenzen, Michael","547179","2023","4.18",21.6,"94.3","2452","-11.8","-14.8","85.2","2542","2.5","-37.6","82.3","2624","3.7","-53.2","83","2570","10.6","-39.8"
"Wheeler, Zack","554430","2023","3.61",28.6,"95.8","2495","-6.3","-14.5",,,,,"81.4","2742","10","-51.7","84.4","2635","13.5","-36.6"
"Corbin, Patrick","571578","2023","5.20",21.2,"91.8","2095","8.3","-18.7","80.5","2150","-2.6","-42.1",,,,,,,,
"Heaney, Andrew","571760","2023","4.15",26.4,"92.5","2413","15.9","-18.3","82","2530","-5.7","-40.9","74.4","2394","-9.9","-53.6",,,,
"Mikolas, Miles","571945","2023","4.78",16.7,"93.3","2275","-5.6","-16.3","86.4","2335","3.7","-33.4","75.8","2490","7.8","-63",,,,
"Stroman, Marcus","573186","2023","3.95",22.3,"92","2412","-6.7","-17","86.1","2784","4.6","-41.1",,,,,,,,
"Kikuchi, Yusei","579328","2023","3.86",28,"95.1","2340","9.8","-14.3","88.7","2427","-2.5","-31.5","83.1","2536","-6.1","-43.1",,,,
"Gausman, Kevin","592332","2023","3.16",28.9,"94.7","2278","-10.6","-13.8","84","2236","1","-34.2",,,,,"77.6","2237","11.8","-38.2"
"Gray, Jon","592351","2023","4.12",26.3,"95.7","2010","-10","-16.9","88","2383","3.5","-32.1","78.2","2499","12.2","-53.8","83.3","2497","11.5","-35.1"
"Smyly, Drew","592767","2023","5.00",27.1,,,,,,,,,"78.6","2120","3.2","-46.3",,,,
"Taillon, Jameson","592791","2023","4.84",22,"93.7","2329","-7.7","-14.2","82.2","2763","7.9","-30.2","80.5","2727","10.4","-52.2","80.9","2706","14.5","-40.1"
"Walker, Taijuan","592836","2023","4.38",20.5,"92.8","2112","-9.1","-15.2",,,,,"74.8","2352","7.8","-60.3","82.5","2595","10.6","-33.2"
"Williams, Trevor","592866","2023","5.55",19,"89.7","2204","-6.4","-22.6","81.7","2179","5.6","-37.8","76.7","2231","8.6","-48.7","76.7","2238","14.2","-41.8"
"Rodriguez, Eduardo","593958","2023","3.30",23.8,"92.2","2165","5.8","-17.5","84.5","2120","-2.2","-37.2",,,,,,,,
"Weaver, Luke","596133","2023","6.40",21.6,"94","2395","-7.5","-15","86.5","2283","3.2","-29.9","81.6","2229","2.2","-47.6","83.2","2335","8.9","-42.2"
"Gomber, Austin","596295","2023","5.50",19,"90.6","2170","7.1","-16.1","84.8","2394","-4.7","-32.8","77.6","2521","-7.6","-56.4",,,,
"Pivetta, Nick","601713","2023","4.04",29.6,"94.6","2347","-4","-10.7","86.6","2392","6.3","-32.4","79.4","2796","8","-61.3","84.2","2494","14.2","-34"
"Bassitt, Chris","605135","2023","3.60",21.9,"92.4","2153","-5.2","-18.8","80.3","2334","7.5","-43.7","70.7","2269","14","-70","73.2","2286","18.3","-53.8"
"Clevinger, Mike","605182","2023","3.77",23.2,"94.3","2267","-7.2","-13.4","79.4","2353","15.1","-46.3","76","2212","7.8","-64.1",,,,
"Nola, Aaron","605400","2023","4.46",26,"92.7","2304","-12.2","-16.8",,,,,"79.4","2591","12.5","-54.8",,,,
"Snell, Blake","605483","2023","2.25",37.3,"95.5","2430","4.6","-11.4","88.4","2345","-3","-28","81","2399","-12.6","-52.6",,,,
"Rea, Colin","607067","2023","4.55",24,"93.2","2154","-7","-16.8",,,,,"78.8","2202","9.1","-55.4","83.1","2208","10.1","-39.2"
"Freeland, Kyle","607536","2023","5.03",17.1,"88.8","2345","6.3","-20.3","84.1","2273","-1.4","-33.6","80.6","2386","-2.4","-47.1",,,,
"Lugo, Seth","607625","2023","3.57",21.8,"93.4","2267","-6.5","-14.5","85.8","2586","5","-34.1","79.6","3234","12.7","-59.5","81.8","2838","14.8","-39.7"
"Giolito, Lucas","608337","2023","4.88",28.8,"93.1","2173","-5.5","-13.5","84","1978","1.6","-38.3","77.9","2334","6.2","-60.3",,,,
"Wacha, Michael","608379","2023","3.22",24.6,"92","2050","-7.3","-13.8",,,,,"74","2150","12","-62.7",,,,
"Eflin, Zach","621107","2023","3.50",24,"92.9","2218","-7.8","-17.7","84.1","2292","5.8","-38.2","79.1","2503","11.5","-51.4","79.7","2477","16.6","-43"
"Berríos, José","621244","2023","3.65",25.4,"94.3","2227","-8.9","-15",,,,,,,,,,,,
"Castillo, Luis","622491","2023","3.34",30.6,"96.3","2287","-12","-16","85.7","2347","1.1","-36.9",,,,,,,,
"Suárez, Ranger","624133","2023","4.18",23,"93.4","1976","6.8","-18.5","84.1","2094","-5.3","-38.2","75.8","2175","-11.3","-58.2",,,,
"López, Pablo","641154","2023","3.66",30.3,"94.9","2262","-5","-16",,,,,"82.5","2655","9","-50.6","84.4","2495","13.2","-38.7"
"Dunning, Dane","641540","2023","3.70",22.2,"90.5","2135","-6.1","-21.7","82.1","2361","3","-42","77.7","2173","10.5","-60.6",,,,
"France, J.P.","641585","2023","3.83",21.9,"93","2426","-1.5","-16.1",,,,,"76","2533","9.9","-66.3","80.1","2635","15.4","-43.3"
"Ober, Bailey","641927","2023","3.43",28.7,"91.3","2313","-7.5","-16.2","81","2105","11.5","-39.7","77.5","2182","8.8","-54.9",,,,
"Peralta, Freddy","642547","2023","3.86",33.6,"94.4","2414","-6.9","-15.3","82.4","2342","7.4","-37.4","76.9","2176","4.2","-51.8",,,,
"Alcantara, Sandy","645261","2023","4.14",25.2,"98","2254","-11.9","-15.1","89.9","2367","0.5","-29.8","86.1","2462","3.4","-39.6",,,,
"Civale, Aaron","650644","2023","3.46",22.7,"91.8","2384","-5","-14.1","82.5","2866","11.6","-38.3","78.1","2985","10.9","-61.3",,,,
"Canning, Griffin","656288","2023","4.32",29.1,"94.7","2139","-7.4","-14.8","88.4","2728","0.1","-38.3","81.8","2406","12","-48.3",,,,
"Cease, Dylan","656302","2023","4.58",31,"95.6","2519","-3.2","-11.2","86.3","2795","2.5","-34.7","80.2","2641","3.6","-58.5",,,,
"Flaherty, Jack","656427","2023","4.99",26.6,"93.1","2306","-2.3","-17.9","84.2","2464","7.2","-37.4","76.2","2494","14.2","-56.7",,,,
"Keller, Mitch","656605","2023","4.21",23.2,"95.2","2377","-9","-15.2",,,,,"78","2604","12.5","-59.9","82.8","2757","18.5","-40.5"
"Kopech, Michael","656629","2023","5.43",26.9,"95.2","2501","-9","-13.1","84.8","2340","5.4","-38","80.6","2387","6.4","-49.4",,,,
"Megill, Tylor","656731","2023","4.70",23.3,"94.9","2126","-7.8","-15.7","84.4","2225","4.2","-40.2","77.2","2316","8","-60",,,,
"Montgomery, Jordan","656756","2023","3.20",25.9,"93.3","2343","6.1","-15.6",,,,,"80.5","2356","-3","-48.7",,,,
"Steele, Justin","657006","2023","3.06",23.8,"91.8","2402","-1.3","-21.5","83.3","2658","-14.1","-39.9","80.7","2681","-10.6","-52.2",,,,
"Webb, Logan","657277","2023","3.25",20.7,"92.6","1980","-9.8","-21.7",,,,,,,,,"84.3","2559","12.3","-38"
"Schmidt, Clarke","657376","2023","4.64",22.6,,,,,,,,,"83.7","2930","16","-46.8","86","2945","9","-32.3"
"Ryan, Joe","657746","2023","4.51",26.8,"92.3","2216","-10.3","-17.6","83.3","2319","4.6","-36",,,,,"79.2","2540","14","-43.1"
"Ohtani, Shohei","660271","2023","3.14",30.8,"96.8","2260","-4.1","-15.1","85.5","2593","7.3","-45.8","75.7","2459","11.8","-62.5","83.6","2498","16","-35.8"
"Irvin, Jake","663623","2023","4.61",17.8,"94.5","2333","-10.5","-15.6",,,,,"80.9","2407","12.5","-47",,,,
"Sandoval, Patrick","663776","2023","4.11",27.7,"93","1989","4.4","-14.8","87","2464","-6.2","-32.5","76.5","2722","-8.6","-60","81.8","2664","-16.8","-43"
"Singer, Brady","663903","2023","5.52",22.7,"90.9","2324","-1.8","-23.1","84","2377","3.4","-37.6",,,,,"81.2","2250","13.3","-37.6"
"Valdez, Framber","664285","2023","3.45",26.7,"95.7","2205","6.3","-13.6","84.7","2636","-2.9","-41.8","80.2","2842","-8.7","-57.2",,,,
"Javier, Cristian","664299","2023","4.56",27.1,"92.7","2255","-5.6","-13.3","79.5","2552","14","-41.1","76.6","2937","12.2","-57.4",,,,
"Kremer, Dean","665152","2023","4.12",24,"94.6","2304","-9.7","-13.8",,,,,"78.1","2756","10.4","-55.6","82.8","2658","12.6","-41.5"
"Garrett, Braxton","666129","2023","3.66",25.3,"90.8","2270","7.4","-18.2","82.8","2210","-10.3","-43.2","77.6","2168","-10.4","-53.4",,,,
"Luzardo, Jesús","666200","2023","3.58",31.4,"96.7","2240","14.1","-15.5","85.1","2320","0.1","-36.3",,,,,,,,
"Gallen, Zac","668678","2023","3.47",26.3,"93.6","2296","-2.9","-14.4","87.5","2433","5.5","-34.7","82.5","2463","4","-51",,,,
"Ashcraft, Graham","668933","2023","4.76",22.1,,,,,"88.3","2832","13.2","-35.5",,,,,,,,
"Gore, MacKenzie","669022","2023","4.42",27.9,"95","2286","4.2","-12.9","88.6","1970","-2.5","-28.9","83.2","2311","1.2","-46.3","84.6","2196","-9.2","-39.4"
"Nelson, Ryne","669194","2023","5.31",20.3,"94.4","2210","-4.1","-12.6","81.7","2405","12.7","-42.2","76.4","2492","6.5","-58.2",,,,
"Burnes, Corbin","669203","2023","3.39",28.7,,,,,"86","2877","12.4","-35.4","79.8","2794","10.4","-54",,,,
"Gilbert, Logan","669302","2023","3.73",26.3,"95.7","2000","-6.1","-12.8","88.7","2009","0.8","-34.4","80.3","2324","7.1","-55.1",,,,
"Bieber, Shane","669456","2023","3.80",24.2,"91.3","2242","-9.6","-15.7","84.6","2532","3.1","-37.7","82.5","2239","11.6","-50.1",,,,
"Kirby, George","669923","2023","3.35",22.9,"96.1","2209","-8.3","-14.4","86.3","2335","11","-39.2","81.8","2343","9.2","-53.9",,,,
"Oviedo, Johan","670912","2023","4.31",26,"95.8","2269","-9.8","-19.5","88.2","2469","5.1","-31.7","80.9","2388","7.1","-42.6",,,,
"Allen, Logan","671106","2023","3.81",24,"91.4","2150","4.1","-16.6","83.6","2222","-6.3","-37",,,,,"78.8","2268","-15.3","-45.1"
"Detmers, Reid","672282","2023","4.48",27.1,"94.3","2095","11","-15.1","88.9","2079","-1.3","-31.8","74.7","2414","-11.4","-64.5","83.5","2478","-8","-46.8"
"Senga, Kodai","673540","2023","2.98",29.7,"95.7","2283","-8","-13.4","84.6","2483","1.7","-36.7","72.8","2489","3.5","-63.1","80.9","2580","12.5","-45.2"
"Strider, Spencer","675911","2023","3.86",38.6,"97.2","2362","-6.1","-10.6","85.6","2345","5.6","-35.9",,,,,,,,
"Miller, Bobby","676272","2023","3.76",26.7,"99","2341","-8.5","-11.3","89.9","2510","4.7","-32.8","80.6","2812","9.4","-56.2","85.3","2695","13.9","-35.9"
"Bibee, Tanner","676440","2023","2.98",26.3,"94.9","2301","-4.5","-13.9","84.7","2794","10.4","-39.1","78.4","2720","10.3","-56.5",,,,
"Sears, JP","676664","2023","4.54",24.7,"93.1","2135","11.2","-16.9","82.1","2450","-1.5","-33.3",,,,,"81.1","2483","-9.9","-36.2"
"Crawford, Kutter","676710","2023","4.04",26.8,"93.6","2488","-9.4","-12.4","82.9","2278","6.1","-35","79.4","2236","7.9","-56.6","82.2","2282","12.5","-37.4"
"Bello, Brayan","678394","2023","4.24",24.4,"95.5","2083","-10","-17","85.3","2276","3.7","-42.3",,,,,,,,
"Rodriguez, Grayson","680570","2023","4.35",26.3,"97.4","2270","-11.4","-13.2","82.3","2402","11.4","-36.7","79.9","2628","9.1","-55.8",,,,
"Gray, Josiah","680686","2023","3.91",26.1,"93.5","2128","-11.3","-15.9","85.9","1878","1","-30.9","82.2","2380","1.7","-44.1","81.9","2466","9","-38.9"
"Bradish, Kyle","680694","2023","2.83",25.9,"94.5","2383","2.9","-17.8","88.1","2650","12.5","-35.4","84.8","2615","5.5","-51",,,,
"Miller, Bryce","682243","2023","4.32",24.1,"95.1","2591","-3.5","-11.8","86.6","2416","2.1","-34.5","78.2","2333","8.6","-60.1","81.2","2187","14.9","-47.4"
"Waldichuk, Ken","686610","2023","5.36",25.1,"93.3","2300","10.2","-16.3",,,,,"74.5","2005","-14.1","-59.2","81.1","2089","-12.9","-41.1"
"Brown, Hunter","686613","2023","5.09",24.8,"95.7","2240","-6.1","-13.1",,,,,"82.9","2472","5.3","-54.7","84.6","2323","9.8","-41.5"
"Elder, Bryce","693821","2023","3.81",23.5,"90.7","2124","-3.9","-18.1","82.7","2414","-0.1","-41.6",,,,,,,,